code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,,La galaxie des fabricants de montres suisses,,,,,,,,
descr.1,,Estimation des chiffres d’affaires des horlogers suisses en 2015.,,,,,,,,
descr.2,,"A titre de comparaison, les ventes de montres connectées d'",,,,,,,,
apple,,Apple,,,,,,,,
descr.3,,sont également représentées. Les marques du même groupe sont de la même couleur:,,,,,,,,
swatch,,Swatch Group,,,,,,,,
richemont,,Richemont,,,,,,,,
lvmh,,LVMH,,,,,,,,
h3,,L'horlogerie suisse vs Apple,,,,,,,,
unit,,millions CHF,,,,,,,,
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
source.name,,"René Weber, Banque Vontobel",,,,,,,,